mode,q_mode,cl,SDSS9,m_SDSS9,objID,Sp-ID,RA_ICRS,DE_ICRS,ObsDate,Q,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,zsp,pmRA,pmDE,f_zsp
1,+,3,"J023013.55-031242.1",,1237678887989150332,"4344-55557-0288",37.556493,-3.211699,2008.8333,3,21.894,0.473,20.08,0.042,18.618,0.02,17.974,0.017,17.545,0.041,0.25499,-13,4,0
1,+,3,"J023028.21-030958.9",,1237678887989215511,"4344-55557-0249",37.617552,-3.166368,2008.8333,3,23.285,0.828,21.95,0.112,20.42,0.048,19.58,0.035,18.968,0.075,0.49023,16,18,0
1,+,3,"J023046.64-030947.0",,1237678887989215420,"4344-55557-0254",37.694345,-3.163066,2008.8333,3,22.366,0.653,21.324,0.117,19.523,0.038,18.851,0.032,18.482,0.082,0.41927,,,0
1,+,6,"J023013.95-030921.6",,1237679255746576488,"4344-55557-0282",37.558124,-3.156015,2008.9753,3,20.211,0.053,19.951,0.016,19.55,0.017,19.468,0.021,19.544,0.068,1.22009,1,-1,0
1,+,3,"J023025.43-030818.1",,1237679255746642298,"4344-55557-0259",37.605997,-3.138364,2008.9753,3,22.97,1.246,21.575,0.126,19.714,0.041,18.799,0.027,18.189,0.056,0.56978,-20,41,0
1,+,3,"J023015.78-030621.1",,1237679255746577041,"4344-55557-0251",37.565787,-3.105882,2008.9753,3,24.064,1.592,22.383,0.16,21.016,0.08,19.887,0.045,19.323,0.093,0.57184,,,0
1,+,3,"J022957.30-030804.2",,1237679255746576798,"4344-55557-0299",37.488749,-3.134515,2008.9753,3,24.541,1.977,21.96,0.121,20.328,0.049,19.449,0.034,18.797,0.067,0.48923,,,0
1,,3,"J023039.68-030402.1",,1237679255746642491,"4344-55557-0252",37.665333,-3.067275,2008.9753,3,22.106,0.52,21.277,0.083,19.491,0.029,18.733,0.023,18.17,0.049,0.44578,9,-3,0
1,+,3,"J023129.34-030352.9",,1237679255746708038,"4344-55557-0211",37.872277,-3.064717,2008.9753,3,22.278,0.607,21.372,0.093,20.131,0.053,19.349,0.04,19.029,0.109,0.57394,,,0
1,+,3,"J023101.60-030509.8",,1237679255746707494,"4344-55557-0215",37.756685,-3.086062,2008.9753,3,22.119,0.531,20.072,0.031,18.454,0.013,17.837,0.012,17.535,0.029,0.32991,-4,3,0
1,+,3,"J023135.26-030152.9",,1237679255746772998,"4344-55557-0176",37.896929,-3.031368,2008.9753,3,25.996,1.054,19.748,0.02,18.284,0.01,17.692,0.009,17.381,0.021,0.26091,5,2,0
1,+,3,"J023131.37-025514.0",,1237678888526152610,"4344-55557-0217",37.880713,-2.920559,2008.8333,3,27.647,0.37,22.119,0.227,20.563,0.104,19.585,0.065,18.859,0.123,0.52157,,,0
1,+,3,"J023105.97-025907.2",,1237679255746707571,"4344-55557-0218",37.774889,-2.985358,2008.9753,3,19.8,0.099,17.726,0.007,16.645,0.005,16.183,0.005,15.765,0.01,0.14105,-1,2,0
1,+,6,"J023030.86-025922.6",,1237679255746641939,"4344-55557-0260",37.628604,-2.989614,2008.9753,3,17.495,0.011,16.553,0.004,16.252,0.004,16.17,0.004,16.115,0.007,9.0E-5,12,-15,0
1,+,3,"J023038.98-025829.9",,1237679255746642487,"4344-55557-0256",37.662444,-2.974977,2008.9753,3,24.071,1.527,21.556,0.071,20.244,0.039,19.508,0.03,19.262,0.085,0.28694,-6,7,0
1,+,3,"J023113.03-025536.6",,1237678888526152267,"4344-55557-0231",37.804292,-2.926833,2008.8333,3,25.426,1.082,22.556,0.152,20.932,0.065,19.921,0.039,19.229,0.077,0.57381,,,0
