OzDES,RAJ2000,DEJ2000,z,Flag,types
"OzDES_007532",54.900208,-26.873111,0.19288,3,"BrightGalaxy"
"OzDES_007536",54.849625,-26.864917,0.11448,4,"BrightGalaxy"
"OzDES_007526",54.815333,-26.870194,0.115,4,"BrightGalaxy"
"OzDES_007555",54.810708,-26.8155,0.58468,3,"LRG"
"OzDES_007566",54.835417,-26.785778,0.79122,4,"LRG"
"OzDES_007547",54.933125,-26.840556,0.78911,4,"LRG"
"OzDES_007554",54.938667,-26.818194,0.78874,4,"LRG"
"OzDES_000371",54.893667,-26.817194,0.06771,4,"Photo-z"
"OzDES_006841",54.967458,-26.809944,0.7493,4,"LRG"
"OzDES_000372",54.981292,-26.802472,0.06822,4,"Photo-z"
"OzDES_006844",54.971375,-26.756917,0.60488,3,"LRG"
"OzDES_010422",54.956417,-26.753667,0.20817,3,"BrightGalaxy"
"OzDES_007568",54.908375,-26.794722,0.19326,4,"AGN_reverberation"
"OzDES_007582",54.877083,-26.769306,0.06704,4,"BrightGalaxy"
"OzDES_000332",54.881833,-26.760056,0.46676,4,"Photo-z"
"OzDES_010423",54.880917,-26.744333,0.24702,3,"BrightGalaxy"
"OzDES_010421",54.965083,-26.745139,1.01988,3,"ELG"
"OzDES_000333",54.946667,-26.73,0.20797,4,"Photo-z"
"OzDES_007570",54.760833,-26.813278,2.8E-4,6,"BrightGalaxy"
"OzDES_007561",54.7985,-26.806972,0.6619,3,"LRG"
"OzDES_000369",54.796792,-26.795528,0.3384,4,"Photo-z"
"OzDES_007572",54.830917,-26.782861,0.38122,4,"BrightGalaxy"
"OzDES_007563",54.709708,-26.806,0.11253,4,"BrightGalaxy"
"OzDES_000331",54.841667,-26.756778,4.0E-5,4,"Photo-z"
"OzDES_007588",54.824,-26.757611,0.19272,4,"BrightGalaxy"
"OzDES_010424",54.882042,-26.732889,0.19401,4,"BrightGalaxy"
"OzDES_010425",54.880708,-26.714611,0.19283,3,"BrightGalaxy"
"OzDES_010495",54.867583,-26.681306,0.20486,3,"BrightGalaxy"
"OzDES_010430",54.904167,-26.676389,1.18629,3,"AGN_reverberation"
"OzDES_010478",54.792208,-26.719944,0.62198,4,"AGN_monitoring"
"OzDES_010492",54.77475,-26.682889,0.20832,4,"BrightGalaxy"
"OzDES_010432",54.874125,-26.664389,0.70986,4,"AGN_reverberation"
"OzDES_010519",54.856458,-26.64025,0.18469,4,"BrightGalaxy"
"OzDES_002406",55.174667,-26.920528,6.0E-5,6,"FStar"
