Num,Name,RAJ2000,DEJ2000,z,f_z,imag,UmagC,e_UmagC,BmagC,e_BmagC,VmagC,e_VmagC,RmagC,e_RmagC,ImagC,e_ImagC
76137,"VVDS-J033241.72-274401.5",53.1738497,-27.7337608,0.4115,1,23.7866,27.0095,,25.999,0.1126,24.8336,0.1354,23.8486,0.0652,23.7866,0.1129
31443,"VVDS-J033245.05-274331.6",53.1877271,-27.7254608,0.2449,4,18.9738,22.6131,0.0185,20.9831,0.0045,20.0657,0.0052,19.4281,0.0029,18.9738,0.0036
76810,"VVDS-J033245.28-274326.3",53.1886812,-27.7239901,9.9999,0,23.366,27.0095,,25.1699,0.0722,24.2193,0.1134,24.0833,0.0778,23.366,0.0988
32377,"VVDS-J033245.11-274256.0",53.1879831,-27.7155806,0.8761,2,23.1338,25.8792,0.0946,25.1453,0.0672,24.7882,0.1445,24.1298,0.0657,23.1338,0.0586
32110,"VVDS-J033241.60-274316.5",53.1733738,-27.7212728,0.7349,2,23.6498,25.0556,0.0771,24.5411,0.0416,24.2957,0.0937,23.6795,0.0568,23.6498,0.0842
32608,"VVDS-J033239.18-274257.9",53.1632825,-27.716105,0.4204,3,19.2443,24.2727,0.0527,21.903,0.0091,20.9933,0.0113,19.8882,0.0046,19.2443,0.0059
32724,"VVDS-J033241.01-274250.9",53.1708943,-27.7141491,9.9999,0,23.4549,25.5987,0.1261,24.7858,0.0558,24.7931,0.1127,23.6311,0.0943,23.4549,0.104
103588,"VVDS-J033243.15-274242.3",53.1798153,-27.7117673,0.8598,2,23.4412,27.0095,,27.3138,,25.9514,,24.8724,0.1345,23.4412,0.0775
103644,"VVDS-J033243.93-274232.6",53.1830725,-27.7090807,1.1933,2,23.4187,27.0095,,27.3138,,25.9514,,25.2334,0.1566,23.4187,0.0645
33166,"VVDS-J033242.37-274238.1",53.1765569,-27.7105894,0.5664,4,19.9609,25.3288,0.1131,23.1467,0.0206,22.0708,0.0241,20.8757,0.0087,19.9609,0.0074
32924,"VVDS-J033240.17-274249.8",53.1674049,-27.7138346,0.5651,2,23.3035,25.5531,0.1261,24.5262,0.0626,24.3687,0.1314,26.1283,0.0674,23.3035,0.1302
19627,"VVDS-J033159.37-275159.0",52.9974123,-27.8664125,1.4014,2,22.5734,24.7045,0.0649,23.9425,0.0301,23.8363,0.0643,23.1616,0.0363,22.5734,0.0382
20704,"VVDS-J033202.66-275116.5",53.0111133,-27.8546087,0.989,9,23.5554,25.4599,0.0931,24.6322,0.0514,24.3176,0.0971,24.2402,0.0782,23.5554,0.0998
21213,"VVDS-J033201.69-275054.3",53.0070753,-27.8484342,1.391,2,23.0635,24.4984,0.0524,23.8832,0.0282,23.6409,0.0664,23.3704,0.0464,23.0635,0.0609
21512,"VVDS-J033202.56-275045.6",53.010688,-27.8460166,1.0707,2,23.2006,25.6632,0.1518,23.9684,0.0341,23.9048,0.0731,23.614,0.0572,23.2006,0.0942
21031,"VVDS-J033156.73-275105.1",52.9863922,-27.8514252,0.6566,4,23.8336,25.646,0.0935,24.7306,0.0514,24.4217,0.1171,23.8528,0.0529,23.8336,0.0932
21280,"VVDS-J033158.32-275037.9",52.9930409,-27.8438884,0.6725,3,23.6519,25.2379,0.0964,24.498,0.0472,24.6671,0.1271,23.5823,0.0552,23.6519,0.0989
68660,"VVDS-J033156.11-275025.2",52.9838235,-27.8403594,0.7426,3,20.9847,27.0095,,24.9192,0.0616,23.5353,0.0651,22.3497,0.0217,20.9847,0.0149
22036,"VVDS-J033159.52-275021.6",52.9980347,-27.839358,1.5744,2,23.8415,24.3435,0.0481,23.733,0.0246,23.66,0.0648,23.5267,0.049,23.8415,0.0929
22137,"VVDS-J033158.47-275008.8",52.9936311,-27.8358044,1.1105,3,23.1436,24.8913,0.0604,24.3043,0.0354,24.0539,0.0849,23.8384,0.0569,23.1436,0.0657
69323,"VVDS-J033200.40-274955.0",53.0016718,-27.8319625,9.9999,0,23.3029,27.0095,,24.7033,0.0913,24.9678,0.2691,23.2625,0.0769,23.3029,0.1052
22584,"VVDS-J033204.99-274958.3",53.0208144,-27.8328677,4.4345,2,23.7339,25.6099,0.1262,24.7758,0.0713,24.5352,0.1724,24.5341,0.0962,23.7339,0.1378
22847,"VVDS-J033207.26-274947.1",53.0302807,-27.829761,0.7603,3,22.9096,24.4986,0.0496,23.8324,0.0292,23.9091,0.0696,23.2641,0.0386,22.9096,0.0536
23444,"VVDS-J033207.90-274923.0",53.032939,-27.8230712,0.5594,3,23.4688,25.3392,0.1138,25.11,0.0749,24.3598,0.1432,24.228,0.0698,23.4688,0.1184
23410,"VVDS-J033206.62-274917.6",53.0276044,-27.8215695,0.6751,3,20.4875,23.5739,0.0355,22.4079,0.0149,21.9906,0.0258,21.239,0.0112,20.4875,0.011
22390,"VVDS-J033201.70-274952.3",53.007097,-27.831217,0.6723,4,22.6459,23.9853,0.0452,23.5238,0.0264,23.2175,0.0595,22.6472,0.0313,22.6459,0.0475
113214,"VVDS-J033201.60-274930.8",53.0066899,-27.8252334,0.5711,1,23.19,27.0095,,27.3138,,25.9514,,26.1283,,23.19,0.1409
24004,"VVDS-J033203.90-274856.4",53.0162863,-27.8156906,0.5325,3,22.0334,24.2683,0.0526,23.5111,0.0352,23.1404,0.0449,22.2998,0.0202,22.0334,0.0253
24628,"VVDS-J033204.13-274830.6",53.0172241,-27.8085232,0.7089,3,23.5341,25.4308,0.1031,24.6531,0.0749,24.2461,0.0953,23.7935,0.0546,23.5341,0.0691
22323,"VVDS-J033156.36-275010.5",52.9848644,-27.8362748,0.6844,3,23.6006,25.5401,0.1088,24.7465,0.0513,24.7993,0.1289,23.8198,0.057,23.6006,0.0893
69208,"VVDS-J033152.57-275002.0",52.9690698,-27.833916,1.3149,9,23.0125,27.0095,,25.2063,0.0847,25.0682,0.2176,23.732,0.0653,23.0125,0.0652
22685,"VVDS-J033153.52-274950.3",52.9730113,-27.8306479,0.8409,4,22.2685,23.6809,0.0353,23.1557,0.0194,22.9306,0.0438,22.6418,0.0278,22.2685,0.0368
22815,"VVDS-J033154.44-274942.7",52.9768674,-27.8285476,0.2173,4,22.0401,23.7707,0.0323,22.7852,0.0135,22.3202,0.0251,22.0515,0.0179,22.0401,0.0274
69456,"VVDS-J033157.59-274942.3",52.9899691,-27.8284339,9.9999,0,23.9911,27.0095,,25.7525,0.1258,25.9514,,23.9003,0.1427,23.9911,0.1694
23531,"VVDS-J033157.12-274915.5",52.9880185,-27.8209992,3.6852,1,22.7718,24.3637,0.1453,23.8989,0.0685,22.802,0.1005,22.7688,0.0642,22.7718,0.1027
22745,"VVDS-J033152.20-274946.3",52.9675269,-27.8295475,0.3389,4,20.7468,23.0747,0.0218,22.0829,0.0094,21.4576,0.0159,21.0168,0.0095,20.7468,0.0124
23644,"VVDS-J033151.75-274915.8",52.9656547,-27.8210831,9.9999,0,23.9669,26.1677,0.158,24.4228,0.0621,24.244,0.1034,24.3027,0.09,23.9669,0.1955
101832,"VVDS-J033154.18-274909.4",52.9757651,-27.8192976,0.5863,2,22.9053,27.0095,,27.3138,,25.9514,,23.6052,0.0567,22.9053,0.0599
23960,"VVDS-J033154.87-274901.5",52.9786533,-27.8171007,9.9999,0,23.9104,26.2458,0.191,24.8563,0.0939,24.2007,0.0905,23.9595,0.0592,23.9104,0.0993
