recno,SeqNum,Name,UKST,RAJ2000,DEJ2000,Bjmag,Bjsel,z,q_z,n_z,SNR
70887,101362,"TGS324Z187",418,54.017708333333324,-28.994027777777774,19.342,19.31,0.1496,3,1,7.3
70909,101411,"TGS323Z027",418,53.880374999999994,-29.007722222222217,19.255,19.215,0.1021,3,1,6.6
70899,101395,"TGS324Z192",418,53.91116666666666,-28.96122222222222,18.995,18.956,0.2113,4,2,4.5
70929,101449,"TGS323Z039",418,53.81079166666666,-28.989527777777774,18.404,18.364,0.1028,4,1,10.8
70928,101447,"TGS323Z037",418,53.81416666666666,-28.95905555555555,17.12,17.081,0.0654,4,2,7.1
70892,101384,"TGS323Z019",418,53.927583333333324,-28.93061111111111,19.092,19.052,0.1216,4,3,5.8
70898,101394,"TGS324Z191",418,53.921833333333325,-28.92283333333333,17.763,17.723,0.1221,4,1,12.2
70897,101393,"TGS324Z190",418,53.90808333333332,-28.90858333333333,17.974,17.933,0.103,4,1,12.6
70896,101392,"TGS323Z021",418,53.916416666666656,-28.868777777777773,19.353,19.312,0.2127,4,1,9.3
70863,101294,"TGS323Z003",418,54.17312499999999,-28.912638888888885,19.081,19.04,0.1401,5,2,7.1
70850,101253,"TGS324Z163",418,54.25399999999999,-28.741749999999996,19.222,19.171,0.1969,5,1,14.9
70886,101361,"TGS323Z014",418,54.02016666666666,-28.74780555555555,18.055,18.014,0.1029,4,1,16.4
70868,101315,"TGS323Z007",418,54.14337499999999,-28.708611111111107,18.845,18.792,0.1971,4,2,8.7
70867,101314,"TGS323Z006",418,54.145333333333326,-28.69130555555555,18.771,18.717,0.0679,5,2,15.7
70866,101313,"TGS323Z005",418,54.13829166666666,-28.674277777777775,18.3,18.248,0.13,5,1,14.3
70829,101178,"TGS324Z137",418,54.44391666666666,-28.86955555555555,18.065,18.021,0.0588,4,1,6.7
70818,101153,"TGS324Z123",418,54.50741666666666,-28.854138888888883,18.126,18.08,0.106,5,2,11.9
70816,101146,"TGS324Z121",418,54.52966666666666,-28.819527777777775,16.689,16.645,0.0677,5,1,29.4
70824,101166,"TGS324Z130",418,54.46283333333333,-28.802277777777775,17.903,17.859,0.1023,5,1,22.6
70815,101145,"TGS324Z120",418,54.53233333333333,-28.725166666666663,19.222,19.176,0.068,4,2,9.7
70803,101112,"TGS324Z106",418,54.612083333333324,-28.724611111111106,18.909,18.859,0.1056,5,2,10.2
70802,101111,"TGS324Z105",418,54.614999999999995,-28.69883333333333,18.602,18.551,0.0685,4,2,13.3
70797,101102,"TGS324Z098",418,54.63058333333333,-28.669416666666663,18.197,18.147,0.1053,5,1,21.4
70763,101021,"TGS324Z053",418,54.82012499999999,-28.636722222222218,18.75,18.695,0.0703,4,1,9.6
70780,101069,"TGS324Z076",418,54.71716666666666,-28.64591666666666,16.643,16.59,0.0685,5,1,31.0
70783,101074,"TGS324Z079",418,54.69754166666666,-28.638666666666662,17.984,17.931,0.1059,5,1,32.5
70787,101081,"TGS324Z083",418,54.67737499999999,-28.631583333333328,18.187,18.136,0.1032,4,1,12.7
70779,101068,"TGS324Z075",418,54.72399999999999,-28.59155555555555,18.697,18.645,0.0703,4,2,10.8
70774,101052,"TGS324Z069",418,54.75458333333333,-28.572277777777774,18.581,18.531,0.2091,4,1,16.5
70804,101122,"TGS324Z108",418,54.59983333333333,-28.68833333333333,18.228,18.178,,1,2,1.2
70801,101110,"TGS324Z104",418,54.60733333333332,-28.65769444444444,18.487,18.436,0.1045,5,1,27.2
70796,101101,"TGS324Z097",418,54.63999999999999,-28.656249999999996,16.104,16.054,0.067,5,1,23.9
70812,101140,"TGS324Z116",418,54.54670833333333,-28.642499999999995,17.964,17.914,0.0684,3,2,7.5
70811,101139,"TGS324Z115",418,54.55491666666666,-28.62294444444444,17.994,17.944,0.1262,5,1,22.3
70806,101129,"TGS324Z110",418,54.57829166666666,-28.563138888888886,18.435,18.385,,1,2,2.4
70786,101080,"TGS324Z082",418,54.66766666666666,-28.622499999999995,18.973,18.923,0.124,4,1,13.0
70782,101073,"TGS324Z078",418,54.70312499999999,-28.596583333333328,18.095,18.044,0.1054,4,1,17.4
70785,101079,"TGS324Z081",418,54.670624999999994,-28.578638888888886,18.29,18.239,0.1074,5,1,14.7
70778,101067,"TGS324Z074",418,54.71458333333332,-28.571055555555553,19.419,19.368,0.1247,5,2,9.6
70775,101060,"TGS324Z071",418,54.73170833333332,-28.53030555555555,18.362,18.313,0.0669,4,1,20.2
70795,101099,"TGS324Z095",418,54.643833333333326,-28.553749999999997,18.866,18.815,0.1073,4,1,17.4
70791,101091,"TGS324Z090",418,54.65087499999999,-28.536277777777773,19.092,19.04,0.0687,5,1,16.0
70800,101109,"TGS324Z103",418,54.604749999999996,-28.529416666666663,18.004,17.953,0.1057,4,1,20.7
70784,101078,"TGS324Z080",418,54.672708333333325,-28.530277777777773,17.713,17.662,0.1038,5,1,19.8
70794,101098,"TGS324Z094",418,54.641166666666656,-28.503111111111107,19.277,19.225,0.1066,4,2,9.4
70841,101218,"TGS324Z152",418,54.315374999999996,-28.730999999999995,18.404,18.357,0.1032,4,1,5.7
70840,101217,"TGS324Z151",418,54.327999999999996,-28.695749999999997,19.43,19.383,0.1984,5,1,15.9
70823,101165,"TGS324Z129",418,54.461124999999996,-28.607749999999996,18.508,18.459,0.1117,5,1,17.3
70838,101205,"TGS324Z148",418,54.36316666666666,-28.65494444444444,18.591,18.545,0.1067,4,2,7.9
70837,101204,"TGS324Z147",418,54.36941666666666,-28.645027777777774,18.888,18.841,0.1091,5,1,21.2
