Num,Name,RAJ2000,DEJ2000,imag,z,f_z
20104510,"VVDS-J022743.86-044634.8",36.9327714,-4.7763439,23.6621,9.9999,0
20106542,"VVDS-J022746.46-044622.6",36.9436188,-4.7729627,21.6461,0.1578,1
20107519,"VVDS-J022747.02-044614.5",36.9459526,-4.7707083,21.533,0.4364,3
20109982,"VVDS-J022749.21-044552.6",36.9550705,-4.7646157,23.8485,0.4086,1
20108833,"VVDS-J022752.49-044600.6",36.9687233,-4.766843,23.7564,2.3241,1
20108916,"VVDS-J022752.24-044601.4",36.967697,-4.767064,22.7933,9.9999,20
20108784,"VVDS-J022751.54-044559.3",36.9647526,-4.7664909,23.8601,0.9238,1
20112934,"VVDS-J022753.85-044527.4",36.97439,-4.7576122,23.2002,0.555,2
20112386,"VVDS-J022749.72-044531.8",36.957199,-4.7588372,22.3223,0.8113,3
20112786,"VVDS-J022750.71-044529.7",36.9613121,-4.7582533,22.535,0.0282,2
20114755,"VVDS-J022748.71-044513.6",36.9529878,-4.7537801,22.5935,9.9999,0
20116724,"VVDS-J022750.95-044453.6",36.9623017,-4.7482416,23.9589,0.9676,1
20106308,"VVDS-J022759.91-044626.0",36.9996356,-4.7739164,20.564,0.6408,4
20107729,"VVDS-J022800.77-044608.1",37.0032296,-4.7689413,23.7555,1.0758,9
20111437,"VVDS-J022803.62-044538.8",37.0151207,-4.7607835,23.3168,1.4393,1
20110077,"VVDS-J022757.43-044553.8",36.9892948,-4.7649486,23.0991,0.7461,3
20113855,"VVDS-J022801.37-044518.0",37.0057288,-4.7550042,23.6782,0.6062,2
20121430,"VVDS-J022807.77-044414.4",37.0323812,-4.7373527,23.5911,1.1442,1
20118281,"VVDS-J022802.46-044454.4",37.0102542,-4.7484697,21.6593,0.6134,4
20122385,"VVDS-J022805.19-044421.4",37.0216446,-4.7392911,20.4883,0.3663,4
20121853,"VVDS-J022807.13-044413.3",37.0297256,-4.7370415,23.0402,0.9783,4
20113114,"VVDS-J022755.41-044524.8",36.9809153,-4.7568975,23.8717,0.9923,2
20114362,"VVDS-J022754.92-044516.7",36.9788422,-4.7546649,22.5638,0.7282,4
20117951,"VVDS-J022754.34-044446.7",36.9764307,-4.74631,22.5405,0.345,2
